name,handle,category,instagram_url,youtube_url,website_url,description
SEP México,@sepgobmx,Government,https://instagram.com/sepmx,,,Ministry of Public Education of Mexico
Salud México,@saludmexico,Government,https://instagram.com/ssalud_mx,,,Ministry of Health of Mexico
Hacienda México,@hacienda_mexico,Government,,,,Ministry of Finance and Public Credit of Mexico
SCT México,@sct_mx,Government,,,,Ministry of Communications and Transportation of Mexico
SEMARNAT México,@semarnat_mexico,Government,,,,Ministry of Environment and Natural Resources of Mexico
Economía México,@economía.mexico,Government,,,,Ministry of Economy of Mexico
USA Embassy Mexico,@usembassymex,Diplomatic,https://instagram.com/usembassymex,https://www.youtube.com/@USEmbassyMexico,,United States Embassy in Mexico
France Embassy Mexico,@franciaenmexico,Diplomatic,https://instagram.com/franciaenmexico,https://www.youtube.com/@FranciaenMexico,,Embassy of France in Mexico
Mexico in Canada,@embamexcan,Diplomatic,https://instagram.com/embamexcan,https://www.youtube.com/@embamexcan,,Embassy of Mexico in Canada
Mexico in Chile,@embamexchi,Diplomatic,https://instagram.com/embamexchi,,,Embassy of Mexico in Chile
Mexico in Colombia,@embamexcol,Diplomatic,https://instagram.com/embamexcol,https://www.youtube.com/@embamexcol,,Embassy of Mexico in Colombia
Mexico in Guatemala,@embamexgua,Diplomatic,https://instagram.com/embamexgua,,,Embassy of Mexico in Guatemala
Mexico in Italy,@embamex_italia,Diplomatic,https://instagram.com/embamex_italia,,,Embassy of Mexico in Italy
Mexico in Japan,@embamexjp,Diplomatic,https://instagram.com/embamexjp,https://www.youtube.com/@embamexjp,,Embassy of Mexico in Japan
Mexico in Lebanon,@embamexlibano,Diplomatic,https://instagram.com/embamexlibano,,,Embassy of Mexico in Lebanon
Mexico in Peru,@embamexperu,Diplomatic,https://instagram.com/embamexperu,https://www.youtube.com/@embamexperu,,Embassy of Mexico in Peru
Mexico in Spain,@embamexesp,Diplomatic,https://instagram.com/embamexesp,,,Embassy of Mexico in Spain
Mexico in Uruguay,@embamexur,Diplomatic,https://instagram.com/embamexur,,,Embassy of Mexico in Uruguay
Mexico in Venezuela,@embamexvenezuela,Diplomatic,https://instagram.com/embamexvenezuela,,,Embassy of Mexico in Venezuela
Mexican Consulate LA,@consulmexla,Diplomatic,https://instagram.com/consulmexlan,https://www.youtube.com/@ConsulmexLA,,Mexican Consulate General in Los Angeles
Mexican Consulate NY,@consulmexny,Diplomatic,https://instagram.com/consulmexny,https://www.youtube.com/@ConsulmexNY,,Mexican Consulate General in New York
Mexican Consulate Houston,@consulmexhou,Diplomatic,https://instagram.com/consulmexhouston,,,Mexican Consulate General in Houston
Mexican Consulate Chicago,@consulmexchi,Diplomatic,https://instagram.com/consulmexchi,https://www.youtube.com/@ConsulmexChicago,,Mexican Consulate General in Chicago
CDMX,@cdmx,Government,https://instagram.com/cdmx,https://www.youtube.com/@GobiernoCDMX,,Government of Mexico City (Ciudad de México)
Guadalajara,@guadalajaramx,Government,https://instagram.com/guadalajaramx,,,"Municipal Government of Guadalajara, Mexico"
Monterrey,@monterreymx,Government,https://instagram.com/monterreymx,,,"Municipal Government of Monterrey, Mexico"
Universidad de Antioquia,@udea,Education,https://instagram.com/udea,,,University of Antioquia - Leading Colombian university in Medellín
Instituto Humboldt,@instituto_humboldt,Research,https://instagram.com/instituto_humboldt,,,Alexander von Humboldt Biological Resources Research Institute
La Profe Mónica,@laprofemonica,Language Learning,https://instagram.com/laprofemonica,,,Spanish language teacher sharing educational content
Museo del Oro,@museodeloro,Culture,https://instagram.com/museodeloro,,,Gold Museum of Colombia showcasing pre-Columbian artifacts
MAMM Medellín,@elmamm,Art,https://instagram.com/elmamm,,,Museum of Modern Art of Medellín
Biblioteca Luis Ángel Arango,@bibliotecaluisangelarango,Culture,https://instagram.com/bibliotecaluisangelarango,,,Major cultural library in Bogotá with events and exhibitions
Museo de Arte Moderno MX,@museodeartemoderno,Culture,https://instagram.com/museoartemodernomx,,,Museum of Modern Art showcasing contemporary Mexican and international art
MoMA,@museumofmodernart,Culture,https://instagram.com/themuseumofmodernart,https://www.youtube.com/@MoMAvideos,,Museum of Modern Art - world-renowned art museum in New York
IMCINE,@imcine,Culture,https://instagram.com/imcine,,,Mexican Institute of Cinematography - promoting Mexican cinema
El Corral,@elcorraloficial,Food,https://instagram.com/elcorraloficial,,,Colombian burger restaurant chain - local favorite
Colcafé,@colcafe,Food,https://instagram.com/colcafe,,,Colombian coffee brand and culture
Visit Bogotá,@visitbogota.co,Tourism,https://instagram.com/visitbogota.co,,,Official Bogotá tourism account with city highlights
Visitar Medellín,@visitarmedellin,Tourism,https://instagram.com/visitarmedellin,,,Medellín tourism and local experiences
Medellín Guru,@medellin_guru,Tourism,https://instagram.com/medellin_guru,,,Comprehensive Medellín travel guide and tips
Parques Nacionales Colombia,@parquescolombia,Nature,https://instagram.com/parquescolombia,,,National Parks of Colombia - natural beauty and conservation
Visit Mexico,@visitmexico,Tourism,https://instagram.com/visitmexico,https://www.youtube.com/@visitmexico,,Official tourism promotion of Mexico - destinations and experiences
Colombia Travel,@colombiatravel,Tourism,https://instagram.com/colombia.travel,https://www.youtube.com/@colombiatravel,,Official tourism promotion of Colombia - showcasing the country's beauty
Nómada Frustrada,@nomadafrustrada,Tourism,https://instagram.com/nomadafrustrada,,,Digital nomad travel content and lifestyle
Viajando Empelota,@viajandoempelota,Tourism,https://instagram.com/viajandoempelota,,,Backpacking adventures across Latin America
Bogotá Comidas,@bogotacomidas,Food,https://instagram.com/bogotacomidas,,,Food guide and restaurant recommendations in Bogotá
Bogotá Plan,@bogotaplan,Culture,https://instagram.com/bogotaplan,,,"Events, culture, and activities in Bogotá"
Colombian Family,@colombianfamily,Lifestyle,https://instagram.com/colombianfamily,,,Colombian family travel and lifestyle content
Visit Peru,@visitperu,Tourism,https://instagram.com/visitperu,https://www.youtube.com/@visitperu,,Official tourism promotion of Peru
Chile Travel,@chiletravel,Tourism,https://instagram.com/chiletravel,https://www.youtube.com/@chiletravel,,Official tourism promotion of Chile
Visit Panama,@visitpanama,Tourism,https://instagram.com/visitpanama,https://www.youtube.com/@multimediavisitpma,,Official tourism promotion of Panama
Visit Costa Rica,@visitcostarica,Tourism,https://instagram.com/visitcostarica,https://www.youtube.com/@visitcostarica,,Official tourism promotion of Costa Rica
Ecuador Travel,@ecuadortravel,Tourism,https://instagram.com/ecuadortravel,https://www.youtube.com/@EcuadorTravel,,Official tourism promotion of Ecuador
Visit Argentina,@visitargentina,Tourism,https://instagram.com/visitargentina,https://www.youtube.com/@visitargentina,,Official tourism promotion of Argentina
Brasil Turismo,@brasilturismo,Tourism,https://instagram.com/brasilturismo,https://www.youtube.com/@brasilturismo,,Official tourism promotion of Brazil
Uruguay Natural,@uruguaynatural,Tourism,https://instagram.com/uruguaynaturalmt,https://www.youtube.com/@UruguayNatural,,Official tourism promotion of Uruguay
Museo Nacional Mexico,@museonacional,Culture,https://instagram.com/museonacional,,,National Museum of Mexico showcasing Mexican history and culture
MALBA,@malba,Culture,https://instagram.com/malba,https://www.youtube.com/@malbamuseo,,Museum of Latin American Art of Buenos Aires
Museo Larco,@museolarco,Culture,https://instagram.com/museolarco,,,"Museum showcasing pre-Columbian art in Lima, Peru"
Museo Botero,@museobotero,Culture,https://instagram.com/museobotero,,,Museum dedicated to Fernando Botero's works in Bogotá
Museo de Antropología,@museoantropo,Culture,https://instagram.com/museoantropo,https://www.youtube.com/@museoantropologia,,National Museum of Anthropology showcasing ancient cultures
Museo del Prado,@museodelprado,Culture,https://instagram.com/museoprado,https://www.youtube.com/@museodelprado,,Spain's premier art museum in Madrid
Museo Reina Sofía,@museoreinasofia,Culture,https://instagram.com/museoreinasofia,https://www.youtube.com/@museoreinasofia,,Spanish national museum of modern and contemporary art
MNA,@mna,Culture,https://instagram.com/mna,https://www.youtube.com/@museonacionaldeantropologia,,National Museum of Anthropology - Mexico's premier archaeological museum
INAH México,@inahmx,Culture,,https://www.youtube.com/@INAHTV,,National Institute of Anthropology and History of Mexico
INBA,@inba,Culture,https://instagram.com/inba,https://www.youtube.com/@INBAmx,,National Institute of Fine Arts and Literature of Mexico
Museo Frida Kahlo,@museofridakahlo,Culture,https://instagram.com/museofridakahlo,https://www.youtube.com/@museofridakahlo,,Casa Azul - Frida Kahlo Museum in Mexico City
MUNAL,@munal,Culture,https://instagram.com/munal,,,National Art Museum of Mexico
Museo Evita,@museoevita,Culture,https://instagram.com/museoevita,https://www.youtube.com/@museoevita,,Museum dedicated to Eva Perón in Buenos Aires
MNBA Chile,@mnba,Culture,https://instagram.com/mnbachile,,,National Museum of Fine Arts of Chile
MAC Chile,@macchile,Culture,https://instagram.com/macchile,,,Museum of Contemporary Art of Chile
MAVI,@mavi,Culture,https://instagram.com/mavi,https://www.youtube.com/@MAVISantiago,,"Museum of Visual Arts in Santiago, Chile"
MALI,@mali,Culture,https://instagram.com/museodeartelima,,,Lima Art Museum showcasing Peruvian art
Canal Once TV,@canaloncetv,Media,https://instagram.com/canaloncetv,https://www.youtube.com/@CanalOnceIPN,,Mexican public television channel focusing on culture and education
Canal 22,@canal22,Media,https://instagram.com/canal22oficial,https://www.youtube.com/@Canal22,,Mexican cultural television channel
Televisa,@televisa,Media,https://instagram.com/televisa,https://www.youtube.com/@televisa,,Mexico's largest media company and television network
Las Estrellas,@lasestrellas,Media,https://instagram.com/canalestrellas,https://www.youtube.com/@LasEstrellas,,Flagship entertainment channel of Televisa
Canal 5,@canal5,Media,https://instagram.com/micanalcinco,https://www.youtube.com/@canal5mexico,,Mexican television channel focusing on entertainment
Foro TV,@forotv,Media,https://instagram.com/forotv,https://www.youtube.com/@ForoTV,,Mexican 24-hour news television channel
Azteca Uno,@aztecauno,Media,https://instagram.com/aztecauno,https://www.youtube.com/@AztecaUno,,Flagship channel of TV Azteca Mexico
Azteca 7,@azteca7,Media,https://instagram.com/azteca7,https://www.youtube.com/@Azteca7,,Mexican television channel owned by TV Azteca
Imagen TV,@imagentv,Media,https://instagram.com/imagentv,https://www.youtube.com/@ImagenTVMexico,,Mexican television network focusing on news and entertainment
Multimedios,@multimedios,Media,https://instagram.com/multimedios,https://www.youtube.com/@multimedios,,Mexican media conglomerate with television and radio stations
Univision,@univision,Media,https://instagram.com/univision,https://www.youtube.com/@univision,,Leading Spanish-language television network in the United States
UniMás,@unimas,Media,https://instagram.com/unimas,https://www.youtube.com/@UniMas,,Spanish-language television network in the United States
Galavisión,@galavision,Media,https://instagram.com/galavision,https://www.youtube.com/@Galavision,,Spanish-language television network featuring entertainment programming
TUDN,@tudn,Sports,https://instagram.com/tudn,https://www.youtube.com/@TUDN,,Spanish-language sports television network
Telemundo,@telemundo,Media,https://instagram.com/telemundo,https://www.youtube.com/@Telemundo,,Spanish-language television network in the United States
IPN México,@ipn,Education,https://instagram.com/ipn_mx,https://www.youtube.com/@IPN_MX,,National Polytechnic Institute of Mexico
UNAM,@unam,Education,https://instagram.com/unam_mx,https://www.youtube.com/@UNAM_MX,,National Autonomous University of Mexico
UAM México,@uamx,Education,https://instagram.com/uam_mx,,,Metropolitan Autonomous University of Mexico
Tec de Monterrey,@itesm,Education,https://instagram.com/tecnologicodemonterrey,https://www.youtube.com/@TecdeMonterrey,,Monterrey Institute of Technology and Higher Education
Universidad Nacional Colombia,@unal,Education,https://instagram.com/unal,,,National University of Colombia
Universidad de los Andes,@uniandes,Education,https://instagram.com/uniandes,https://www.youtube.com/@uniandes,,"University of the Andes in Bogotá, Colombia"
Pontificia Javeriana,@javeriana,Education,https://instagram.com/unijaveriana,https://www.youtube.com/@javerianatvco,,Pontifical Javeriana University in Colombia
UBA,@uba,Education,https://instagram.com/uba_ar,https://www.youtube.com/@UBAonline,,"University of Buenos Aires, Argentina"
Universidad de Chile,@uchile,Education,https://instagram.com/uchile,https://www.youtube.com/@uchile,,University of Chile in Santiago
PUC Chile,@pucchile,Education,https://instagram.com/ucatolica,https://www.youtube.com/@pucchile,,Pontifical Catholic University of Chile
PUCP,@pucp,Education,https://instagram.com/pucp,https://www.youtube.com/@pucp,,Pontifical Catholic University of Peru
USP,@usp,Education,https://instagram.com/usp.oficial,https://www.youtube.com/@canalusp,,"University of São Paulo, Brazil"
El Universal México,@eluniversal,News,https://instagram.com/eluniversalmx,https://www.youtube.com/@ElUniversalMex,,Leading Mexican newspaper and news organization
Reforma,@reforma,News,https://instagram.com/reformacom,https://www.youtube.com/@reforma,,Mexican daily newspaper covering national and international news
Milenio Noticias,@milenio,News,https://instagram.com/milenio,https://www.youtube.com/@MilenioNoticias,,Mexican multimedia news organization
Excélsior,@excelsior,News,https://instagram.com/excelsior,https://www.youtube.com/@ExcelsiorMex,,Mexican newspaper and news organization
El Financiero,@elfinanciero,News,https://instagram.com/elfinanciero_mx,https://www.youtube.com/@ElFinancieroTV,,Mexican business and financial news organization
La Jornada,@jornada,News,https://instagram.com/lajornadaonline,https://www.youtube.com/@LaJornada,,Mexican daily newspaper with progressive editorial stance
Proceso,@proceso,News,https://instagram.com/revistaproceso,https://www.youtube.com/@ProcesoMx,,Mexican weekly news magazine focusing on investigative journalism
El Tiempo,@eltiempo,News,https://instagram.com/eltiempo,https://www.youtube.com/@eltiempo,,Colombia's leading newspaper and news organization
El Espectador,@elespectador,News,https://instagram.com/elespectadorcom,https://www.youtube.com/@ElEspectador,,Colombian newspaper with focus on investigative journalism
Revista Semana,@semana,News,https://instagram.com/revistasemana,https://www.youtube.com/@RevistaSemana,,Colombian weekly news magazine covering politics and current affairs
Clarín,@clarin,News,https://instagram.com/clarincom,https://www.youtube.com/@clarincom,,Argentina's leading newspaper and news organization
La Nación,@lanacion,News,https://instagram.com/lanacioncom,https://www.youtube.com/@lanacion,,Argentine daily newspaper with conservative editorial stance
El Comercio,@elcomercio,News,https://instagram.com/elcomercio,https://www.youtube.com/@elcomercio,,Leading Peruvian newspaper and news organization
El Mercurio,@elmercurio,News,https://instagram.com/elmercurio,https://www.youtube.com/@elmercurio,,Chile's oldest and most influential newspaper
La Tercera,@latercera,News,https://instagram.com/latercera,https://www.youtube.com/@latercera,,Chilean daily newspaper covering national and international news
Liga MX,@ligamx,Sports,https://instagram.com/ligabbvamx,https://www.youtube.com/@LigaBBVAMX,,Mexican professional football league
Selección Colombia,@fcfseleccioncol,Sports,https://instagram.com/fcfseleccioncol,https://www.youtube.com/@FCFSeleccionCol,,Colombian national football team
AFA Argentina,@afa,Sports,https://instagram.com/afa.oficial,https://www.youtube.com/@AFASeleccion,,Argentine Football Association and national team
ANFP Chile,@anfp,Sports,https://instagram.com/anfpchile,https://www.youtube.com/@ANFPChileOficial,,National Association of Professional Football of Chile
FPF Perú,@fpf,Sports,https://instagram.com/tufpf,https://www.youtube.com/@FPFOficial,,Peruvian Football Federation
FMF México,@fedmexfut,Sports,,https://www.youtube.com/@FMF,,Mexican Football Federation
Volaris,@volaris,Transportation,https://instagram.com/volaris,https://www.youtube.com/@Volaris,,Mexican low-cost airline
VivaAerobus,@vivaaerobus,Transportation,https://instagram.com/vivaaerobus,https://www.youtube.com/@VivaAerobus,,Mexican low-cost airline
Avianca,@avianca,Transportation,https://instagram.com/avianca,https://www.youtube.com/@avianca,,Colombian flagship airline serving Latin America
LATAM Airlines,@latam,Transportation,https://instagram.com/latamairlines,https://www.youtube.com/@LATAM,,Latin American airline group serving the region
Copa Airlines,@copa,Transportation,https://instagram.com/copaairlines,https://www.youtube.com/@CopaAirlines,,Panamanian airline with extensive Latin American network
BBVA México,@bbvamexico,Banking,https://instagram.com/bbva_mexico,https://www.youtube.com/@BBVAMexico,,Spanish multinational bank operating in Mexico
Santander México,@santandermexico,Banking,https://instagram.com/santandermx,https://www.youtube.com/@SantanderMexico,,Spanish bank's Mexican operations
Scotiabank México,@scotiabank,Banking,https://instagram.com/scotiabankmexico,https://www.youtube.com/@ScotiabankMexico,,Canadian bank's Mexican operations
HSBC México,@hsbc,Banking,https://instagram.com/hsbc_mexico,https://www.youtube.com/@HSBCMexico,,British bank's Mexican operations
Davivienda,@davivienda,Banking,https://instagram.com/davivienda,https://www.youtube.com/@Davivienda,,Colombian commercial bank
Metro CDMX,@metrocdmx,Transportation,https://instagram.com/metrocdmx,,,Mexico City Metro system
Metro Medellín,@metromedellin,Transportation,https://instagram.com/metromedellin,https://www.youtube.com/@metrodemedellin,,Medellín Metro system in Colombia
Metro Santiago,@metrosantiago,Transportation,https://instagram.com/metrosantiago,https://www.youtube.com/@metrodesantiago,,Santiago Metro system in Chile
Metro Lima,@metrolima,Transportation,https://instagram.com/metrolima,,,Lima Metro system in Peru
Metro Quito,@metroquito,Transportation,https://instagram.com/metroquito,,,Quito Metro system in Ecuador
TransMilenio,@transmilenio,Transportation,https://instagram.com/transmilenio,https://www.youtube.com/@TransMilenio,,Bogotá's bus rapid transit system
Teatro Colón Bogotá,@teatrocolonbogota,Culture,https://instagram.com/teatrocolonbogota,,,Historic opera house and cultural venue in Bogotá
Teatro Colón,@teatrocolon,Culture,https://instagram.com/teatrocolon,https://www.youtube.com/@TeatroColonOficial,,"Famous opera house in Buenos Aires, Argentina"
Teatro Solís,@teatrosolis,Culture,https://instagram.com/teatrosolis,,,Principal theater of Uruguay in Montevideo
CENART,@cenart,Culture,https://instagram.com/cenartmx,,,National Center for the Arts of Mexico
CCE México,@ccemx,Culture,https://instagram.com/ccemx,https://www.youtube.com/@CCEMx,,Cultural Center of Spain in Mexico
Casa de América,@casaamerica,Culture,https://instagram.com/casaamerica,https://www.youtube.com/@CasaAmerica,,Institution promoting Ibero-American culture in Spain
Biblioteca Nacional Colombia,@bibliotecanalco,Culture,https://instagram.com/bibliotecanalco,,,National Library of Colombia
Biblioteca Nacional Chile,@bibliotecanalchile,Culture,https://instagram.com/bnchile,https://www.youtube.com/@bibliotecanacionaldechile,,National Library of Chile
Biblioteca Nacional Argentina,@bibliotecanalargentina,Culture,https://instagram.com/bibliotecanalargentina,,,National Library of Argentina
Biblioteca Vasconcelos,@bibliotecavasconcelos,Culture,https://instagram.com/bibliotecavasconcelos,,,José Vasconcelos Library in Mexico City
Liverpool,@liverpool,Retail,https://instagram.com/liverpoolmexico,https://www.youtube.com/@Liverpool,,Mexican luxury department store chain
El Palacio de Hierro,@palaciodehierro,Retail,https://instagram.com/elpalaciodehierro,https://www.youtube.com/@ElPalacioDeHierro,,Mexican upscale department store chain
Sanborns,@sanborns,Retail,https://instagram.com/solosanborns,https://www.youtube.com/@Sanborns,,Mexican retail chain with restaurants and stores
OXXO,@oxxo,Retail,https://instagram.com/tiendasoxxo,https://www.youtube.com/@OXXOTiendas,,Mexican convenience store chain
Elektra,@elektra,Retail,https://instagram.com/elektra_mx,https://www.youtube.com/@Elektra,,Mexican retail chain specializing in electronics and appliances
Coppel,@coppel,Retail,https://instagram.com/coppel,https://www.youtube.com/@Coppel,,Mexican retail chain with credit services
Falabella,@falabella,Retail,https://instagram.com/falabella,https://www.youtube.com/@falabella,,Chilean multinational retail chain in Latin America
Almacenes Éxito,@exito,Retail,https://instagram.com/almacenesexito,https://www.youtube.com/@almacenesexito,,Colombian retail chain and supermarket company
Estado de México,@edomex,Government,https://instagram.com/gobierno.edomex,,,Government of the State of Mexico
Nuevo León,@nuevoleon,Government,https://instagram.com/nuevoleon.mx,,,Government of Nuevo León state in Mexico
Jalisco,@jalisco,Government,https://instagram.com/gobiernojalisco,,,Government of Jalisco state in Mexico
Puebla,@puebla,Government,https://instagram.com/gobiernopuebla,https://www.youtube.com/@GobiernoPuebla,,Government of Puebla state in Mexico
Veracruz,@veracruz,Government,https://instagram.com/veracruzgob,https://www.youtube.com/@GobiernoVeracruz,,Government of Veracruz state in Mexico
Oaxaca,@oaxaca,Government,https://instagram.com/goboaxaca,,,Government of Oaxaca state in Mexico
Chiapas,@chiapas,Government,https://instagram.com/gobchiapas,https://www.youtube.com/@GobiernoChiapas,,Government of Chiapas state in Mexico
Yucatán,@yucatan,Government,https://instagram.com/gobyuc,,,Government of Yucatán state in Mexico
Querétaro,@queretaro,Government,https://instagram.com/gobqro,,,Government of Querétaro state in Mexico
Guanajuato,@guanajuato,Government,,,,Government of Guanajuato state in Mexico
Cundinamarca,@cundinamarca,Government,,,,Government of Cundinamarca department in Colombia
Antioquia,@antioquia,Government,,https://www.youtube.com/@GobAntioquia,,Government of Antioquia department in Colombia
Valle del Cauca,@valledelcauca,Government,,https://www.youtube.com/@GobValle,,Government of Valle del Cauca department in Colombia
Atlántico,@atlantico,Government,,https://www.youtube.com/@GobAtlantico,,Government of Atlántico department in Colombia
Santander,@santander,Government,,,,Government of Santander department in Colombia
Bolívar,@bolivar,Government,,,,Government of Bolívar department in Colombia
Casa Real TV,@casarealtv,Government,,https://www.youtube.com/@casarealtv,,Official channel of the Spanish Royal House
Instituto Cervantes,@institutocervantes,Culture,,https://www.youtube.com/@InstitutoCervantes,,Spanish government institution promoting Spanish language and culture worldwide
TV Senado,@tvsenado,Government,,https://www.youtube.com/@tvsenado,,Television channel of the Mexican Senate
Canal del Congreso,@canaldelcongreso,Government,,https://www.youtube.com/@CanalDelCongreso,,Television channel of the Mexican Congress
Policía Nacional Colombia,@policianalco,Government,,https://www.youtube.com/@PoliciaColombia,,Colombian National Police
Guardia Nacional México,@guardianacionalmx,Government,,,,Mexican National Guard
Ejército Mexicano,@ejercitomexicano,Government,,https://www.youtube.com/@ejercitomexicano,,Mexican Army
Festival Cervantino,@cervantino,Culture,,https://www.youtube.com/@cervantino,,"International Cervantino Festival in Guanajuato, Mexico"
Vive Latino,@vivelatino,Culture,,https://www.youtube.com/@vivelatino,,Latin American music festival in Mexico City
Rock al Parque,@rockalsparque,Culture,,https://www.youtube.com/@rockalsparque,,"Free rock festival in Bogotá, Colombia"
Club América,@america,Sports,,https://www.youtube.com/@america,,Mexican professional football club from Mexico City
Chivas,@chivas,Sports,,https://www.youtube.com/@chivas,,Club de Fútbol Guadalajara professional football team
Pumas UNAM,@pumas,Sports,,https://www.youtube.com/@ClubUniversidadNacional,,Mexican professional football club affiliated with UNAM
Boca Juniors,@boca,Sports,,https://www.youtube.com/@boca,,Argentine professional football club from Buenos Aires
River Plate,@river,Sports,,https://www.youtube.com/@riverplate,,Argentine professional football club from Buenos Aires
W Radio,@wradio,Media,,https://www.youtube.com/@wradio,,Colombian radio network with news and entertainment
Radio Fórmula,@radioformula,Media,,https://www.youtube.com/@RadioFormula,,Mexican radio network with news and talk shows
Caracol Radio,@caracolradio,Media,,https://www.youtube.com/@CaracolRadio,,Colombian radio network with news and entertainment
Grupo Modelo,@grupomodelo,Food,,https://www.youtube.com/@grupomodelo,,Mexican brewery company producing Corona and other beers
Corona,@corona,Food,,https://www.youtube.com/@corona,,Mexican beer brand popular worldwide
Grupo Bimbo,@bimbo,Food,,https://www.youtube.com/@bimbo,,Mexican multinational bakery company
